ID,Latitude,Longitude,Distance,State,ZIP,Latitude_1,Longitude_2,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State_3,County,Zip.1,Country,Source
015067,34.728651,-87.679153,,AL,35674,34.728651,-87.679153,1,range_interpolation,500,John Aldridge Dr,,,Tuscumbia,AL,Colbert County,35674,US,TIGER/LineÂ® dataset from the US Census Bureau
015071,34.51027,-87.719346,,AL,35653,34.51027,-87.719346,0.81,nearest_rooftop_match,709,Gandy St,,,Russellville,AL,Franklin County,35653,US,Franklin
015073,34.063401,-86.770724,,AL,35077,34.063401,-86.770724,1,rooftop,420,Main St NE,,,Hanceville,AL,Cullman County,35077,US,Cullman
015075,34.385282,-86.913534,,AL,35622,34.385282,-86.913534,1,rooftop,4087,Highway 31 SW,,,Falkville,AL,Morgan County,35622,US,Morgan
015076,33.523494,-86.72714,,AL,35210,33.523494,-86.72714,1,range_interpolation,1424,Montclair Rd,,,Birmingham,AL,Jefferson County,35210,US,TIGER/LineÂ® dataset from the US Census Bureau
015083,31.429021,-86.076427,,AL,36323,31.429021,-86.076427,1,range_interpolation,987,Drayton Ave,,,Elba,AL,Coffee County,36323,US,TIGER/LineÂ® dataset from the US Census Bureau
015084,32.327317,-86.989939,,AL,36701,32.327317,-86.989939,0.1,street_center,,W Park Rd,,,Selma,AL,Dallas County,36701,US,TIGER/LineÂ® dataset from the US Census Bureau
015089,32.530547,-86.659932,,AL,36401,32.530547,-86.659932,0.5,street_center,,Sanders Dr,,,Prattville,AL,Autauga County,36067,US,TIGER/LineÂ® dataset from the US Census Bureau
015091,33.613095,-86.768953,,AL,35217,33.613095,-86.768953,1,rooftop,200,N Pine Hill Rd,,,Birmingham,AL,Jefferson County,35217,US,Jefferson
015097,33.496546,-86.800251,,AL,35205,33.496546,-86.800251,0.9,rooftop,1220,17th St S,,,Birmingham,AL,Jefferson County,35205,US,Jefferson
015098,30.672359,-88.051509,,AL,36603,30.672359,-88.051509,1,rooftop,735,S Washington Ave,,,Mobile,AL,Mobile County,36603,US,City of Mobile
015100,30.65226,-88.103036,,AL,36605,30.65226,-88.103036,1,rooftop,954,Navco Rd,,,Mobile,AL,Mobile County,36605,US,City of Mobile
015101,34.034993,-86.319077,,AL,35952,34.034993,-86.319077,1,range_interpolation,6532,Walnut Grove Rd,,,Altoona,AL,Etowah County,35952,US,TIGER/LineÂ® dataset from the US Census Bureau
015103,30.690093,-88.087089,,AL,36607,30.690093,-88.087089,1,rooftop,148,Tuscaloosa St,,,Mobile,AL,Mobile County,36607,US,City of Mobile
015104,32.615315,-87.305965,,AL,36756,32.615315,-87.305965,1,range_interpolation,500,Shivers Ter,,,Marion,AL,Perry County,36756,US,TIGER/LineÂ® dataset from the US Census Bureau
015109,33.52911,-86.811035,,AL,35234,33.52911,-86.811035,1,rooftop,1201,22nd St N,,,Birmingham,AL,Jefferson County,35234,US,Jefferson
015111,34.721887,-86.585548,,AL,35801,34.721887,-86.585548,1,range_interpolation,500,St Clair Ave SW,,,Huntsville,AL,Madison County,35801,US,TIGER/LineÂ® dataset from the US Census Bureau
015112,32.432753,-85.691604,,AL,36083,32.432753,-85.691604,1,range_interpolation,603,Wright St,,,Tuskegee,AL,Macon County,36083,US,TIGER/LineÂ® dataset from the US Census Bureau
015113,34.608016,-87.011052,,AL,35601,34.608016,-87.011052,0.33,place,,,,,Decatur,AL,Morgan County,35601,US,TIGER/LineÂ® dataset from the US Census Bureau
015114,33.825564,-87.277047,,AL,35502,33.825564,-87.277047,1,range_interpolation,331,25th St W,,,Jasper,AL,Walker County,35502,US,TIGER/LineÂ® dataset from the US Census Bureau
015115,33.761412,-87.186361,,AL,35550,33.761412,-87.186361,1,range_interpolation,70,Highland St W,,,Cordova,AL,Walker County,35550,US,TIGER/LineÂ® dataset from the US Census Bureau
015116,34.696849,-86.570169,,AL,35801,34.696849,-86.570169,1,rooftop,105,Teakwood Dr SW,,,Huntsville,AL,Madison County,35801,US,Madison
015117,33.524455,-86.837898,,AL,35204,33.524455,-86.837898,0.33,place,,,,,Birmingham,AL,Jefferson County,35204,US,TIGER/LineÂ® dataset from the US Census Bureau
015119,32.426325,-87.046657,,AL,36701,32.426325,-87.046657,1,range_interpolation,11,Bell Rd,,,Selma,AL,Dallas County,36701,US,TIGER/LineÂ® dataset from the US Census Bureau
015120,33.631876,-85.805669,,AL,36207,33.631876,-85.805669,1,rooftop,2300,Coleman Rd,,,Anniston,AL,Calhoun County,36207,US,Calhoun County
015121,31.091201,-88.242148,,AL,36522,31.091201,-88.242148,0.9,range_interpolation,19225,N 4th St,,,Citronelle,AL,Mobile County,36522,US,TIGER/LineÂ® dataset from the US Census Bureau
015123,31.460164,-88.234526,,AL,36518,31.460164,-88.234526,1,range_interpolation,14600,St Stephens Ave,,,Chatom,AL,Washington County,36518,US,TIGER/LineÂ® dataset from the US Census Bureau
015124,33.277252,-85.822608,,AL,36251,33.277252,-85.822608,1,range_interpolation,83825,State Rte 9,Box,1270,Ashland,AL,Clay County,36251,US,TIGER/LineÂ® dataset from the US Census Bureau
015126,33.160129,-85.375892,,AL,36274,33.160129,-85.375892,1,range_interpolation,1235,Yancey St,Box,467,Roanoke,AL,Randolph County,36274,US,TIGER/LineÂ® dataset from the US Census Bureau
015127,34.715456,-86.629793,,AL,35805,34.715456,-86.629793,1,range_interpolation,4320,Judith Ln,,,Huntsville,AL,Madison County,35805,US,TIGER/LineÂ® dataset from the US Census Bureau
015128,34.48504,-87.285789,,AL,35650,34.48504,-87.285789,1,range_interpolation,300,Hospital St,,,Moulton,AL,Lawrence County,35650,US,TIGER/LineÂ® dataset from the US Census Bureau
015129,31.016286,-87.473942,,AL,36502,31.016286,-87.473942,1,range_interpolation,715,E Laurel St,,,Atmore,AL,Escambia County,36502,US,TIGER/LineÂ® dataset from the US Census Bureau
015132,33.607054,-85.830183,,AL,36203,33.607054,-85.830183,1,rooftop,1130,Hale St,,,Anniston,AL,Calhoun County,36203,US,Calhoun County
015133,33.650822,-86.798537,,AL,35071,33.650822,-86.798537,1,rooftop,420,Dean Dr,,,Gardendale,AL,Jefferson County,35071,US,Jefferson
015134,33.633845,-86.665469,,AL,35215,33.633845,-86.665469,1,rooftop,733,Mary Vann Ln,,,Birmingham,AL,Jefferson County,35215,US,Jefferson
015135,32.322393,-86.281227,,AL,36116,32.322393,-86.281227,1,rooftop,4401,Narrow Lane Rd,,,Montgomery,AL,Montgomery County,36116,US,City of Montgomery
015136,34.368587,-86.909503,,AL,35622,34.368587,-86.909503,1,range_interpolation,10,W 3rd St,Box,409,Falkville,AL,Morgan County,35622,US,TIGER/LineÂ® dataset from the US Census Bureau
015137,33.134766,-88.168688,,AL,35442,33.134766,-88.168688,1,range_interpolation,703,17th St NW,,,Aliceville,AL,Pickens County,35442,US,TIGER/LineÂ® dataset from the US Census Bureau
015138,34.169345,-87.402796,,AL,35553,34.169345,-87.402796,1,range_interpolation,1000,State Rte 33,,,Double Springs,AL,Winston County,35553,US,TIGER/LineÂ® dataset from the US Census Bureau
015139,32.569055,-85.938941,,AL,36078,32.569055,-85.938941,1,rooftop,2639,Gilmer Ave,Box,780277,Tallassee,AL,Elmore County,36078,US,Elmore
015141,33.374242,-88.021594,,AL,35481,33.374242,-88.021594,1,range_interpolation,515,State Rte 17,,,Reform,AL,Pickens County,35481,US,TIGER/LineÂ® dataset from the US Census Bureau
015142,33.303776,-85.759148,,AL,36266,33.303776,-85.759148,1,range_interpolation,88073,State Rte 9,,,Lineville,AL,Clay County,36266,US,TIGER/LineÂ® dataset from the US Census Bureau
015143,33.238426,-87.58035,,AL,35476,33.238426,-87.58035,1,rooftop,2215,32nd St,,,Northport,AL,Tuscaloosa County,35476,US,Tuscaloosa
015144,33.253846,-86.825974,,AL,35007,33.253846,-86.825974,1,rooftop,850,9th St NW,,,Alabaster,AL,Shelby County,35007,US,Shelby County
015145,33.377405,-86.788703,,AL,35244,33.377405,-86.788703,1,rooftop,2500,Riverhaven Dr,,,Birmingham,AL,Jefferson County,35244,US,Jefferson
015147,34.833213,-87.632811,,AL,35630,34.833213,-87.632811,1,rooftop,211,Ana Dr,Fl,ENCE,Florence,AL,Lauderdale County,35630,US,Lauderdale
015148,34.31286,-86.49223,,AL,35016,34.31286,-86.49223,1,rooftop,235,3rd St SE,,,Arab,AL,Marshall County,35016,US,Marshall
015149,33.970246,-87.918201,,AL,35563,33.970246,-87.918201,1,range_interpolation,251,Sunset Pl,,,Guin,AL,Marion County,35563,US,TIGER/LineÂ® dataset from the US Census Bureau
015150,31.048317,-85.890335,,AL,36340,31.048317,-85.890335,0.9,range_interpolation,1200,W Maple Ave,,,Geneva,AL,Geneva County,36340,US,TIGER/LineÂ® dataset from the US Census Bureau
015151,30.696951,-88.164845,,AL,36607,30.696951,-88.164845,0.9,range_interpolation,1758,Springhill Ave,,,Mobile,AL,Mobile County,36608,US,TIGER/LineÂ® dataset from the US Census Bureau
015152,31.109454,-86.051603,,AL,36302,31.109454,-86.051603,0.4,street_center,,W Aplin St,,,Samson,AL,Geneva County,36477,US,TIGER/LineÂ® dataset from the US Census Bureau
015153,33.49596,-86.849797,,AL,35211,33.49596,-86.849797,1,rooftop,1020,Tuscaloosa Ave SW,,,Birmingham,AL,Jefferson County,35211,US,Jefferson
015154,33.707277,-87.824035,,AL,35555,33.707277,-87.824035,1,range_interpolation,1653,Temple Ave N,,,Fayette,AL,Fayette County,35555,US,TIGER/LineÂ® dataset from the US Census Bureau
015155,33.859761,-87.265391,,AL,35504,33.859761,-87.265391,1,range_interpolation,907,11th St NE,,,Jasper,AL,Walker County,35504,US,TIGER/LineÂ® dataset from the US Census Bureau
015156,34.455238,-85.715859,,AL,35967,34.455238,-85.715859,1,range_interpolation,403,13th St NW,,,Fort Payne,AL,DeKalb County,35967,US,TIGER/LineÂ® dataset from the US Census Bureau
015157,34.239325,-87.620145,,AL,35565,34.239325,-87.620145,1,range_interpolation,2201,11th Ave,,,Haleyville,AL,Winston County,35565,US,TIGER/LineÂ® dataset from the US Census Bureau
015158,32.631576,-87.306057,,AL,36756,32.631576,-87.306057,1,range_interpolation,505,E Lafayette St,,,Marion,AL,Perry County,36756,US,TIGER/LineÂ® dataset from the US Census Bureau
015159,33.952221,-86.4665,,AL,35121,33.952221,-86.4665,1,range_interpolation,215,Valley Rd,,,Oneonta,AL,Blount County,35121,US,TIGER/LineÂ® dataset from the US Census Bureau
015160,33.16653,-86.267397,,AL,35150,33.16653,-86.267397,1,rooftop,1007,Fort Williams St W,,,Sylacauga,AL,Talladega County,35150,US,Talladega County
015162,33.427639,-86.08692,,AL,35160,33.427639,-86.08692,1,rooftop,616,Chaffee St,,,Talladega,AL,Talladega County,35160,US,Talladega County
015163,34.281438,-86.194374,,AL,35950,34.281438,-86.194374,0.9,range_interpolation,750,State Rte 75,,,Albertville,AL,Marshall County,35950,US,TIGER/LineÂ® dataset from the US Census Bureau
015164,32.090056,-88.205056,,AL,36904,32.090056,-88.205056,1,range_interpolation,1406,E Pushmataha St,,,Butler,AL,Choctaw County,36904,US,TIGER/LineÂ® dataset from the US Census Bureau
015166,32.83223,-85.759359,,AL,36853,32.83223,-85.759359,1,range_interpolation,351,N East St,,,Dadeville,AL,Tallapoosa County,36853,US,TIGER/LineÂ® dataset from the US Census Bureau
015167,34.125335,-87.994721,,AL,35570,34.125335,-87.994721,0.6,street_center,,Sasser Dr,,,Hamilton,AL,Marion County,35570,US,TIGER/LineÂ® dataset from the US Census Bureau
015168,30.683179,-88.078428,,AL,36604,30.683179,-88.078428,1,rooftop,1655,McGill Ave,,,Mobile,AL,Mobile County,36604,US,City of Mobile
015169,34.837353,-87.649754,,AL,35630,34.837353,-87.649754,1,rooftop,2107,Cloyd Blvd,Fl,ENCE,Florence,AL,Lauderdale County,35630,US,Lauderdale
015171,32.139286,-85.688994,,AL,36089,32.139286,-85.688994,1,rooftop,745,Southern Springs Rd,,,Union Springs,AL,Bullock County,36089,US,Bullock
015174,33.956169,-85.923315,,AL,35905,33.956169,-85.923315,1,rooftop,513,Pineview Ave,,,Gadsden,AL,Etowah County,35905,US,Etowah
015175,31.219982,-85.436676,,AL,36305,31.219982,-85.436676,1,rooftop,718,Honeysuckle Rd,,,Dothan,AL,Houston County,36305,US,Houston
015176,34.295012,-85.987579,,AL,35962,34.295012,-85.987579,1,range_interpolation,8922,State Rte 227,,,Crossville,AL,DeKalb County,35962,US,TIGER/LineÂ® dataset from the US Census Bureau
015177,32.500084,-87.838634,,AL,36732,32.500084,-87.838634,1,rooftop,105,E Windsor St,,,Demopolis,AL,Marengo County,36732,US,Marengo
015178,32.843515,-87.889431,,AL,35462,32.843515,-87.889431,1,range_interpolation,509,Wilson Ave,,,Eutaw,AL,Greene County,35462,US,TIGER/LineÂ® dataset from the US Census Bureau
015179,32.492199,-85.018463,,AL,36867,32.492199,-85.018463,1,range_interpolation,3301,Stadium Dr,,,Phenix City,AL,Russell County,36867,US,TIGER/LineÂ® dataset from the US Census Bureau
015180,33.989221,-86.028833,,AL,35904,33.989221,-86.028833,1,rooftop,1945,Davis Dr,,,Gadsden,AL,Etowah County,35904,US,Etowah
015182,31.640458,-86.736157,,AL,36033,31.640458,-86.736157,0.8,range_interpolation,206,S Palmer Ave,,,Georgiana,AL,Butler County,36033,US,TIGER/LineÂ® dataset from the US Census Bureau
015183,30.772592,-88.137036,,AL,36613,30.772592,-88.137036,0.6,street_center,,St Stephens Rd,,,Eight Mile,AL,Mobile County,36613,US,TIGER/LineÂ® dataset from the US Census Bureau
015184,34.664286,-86.049826,,AL,35768,34.664286,-86.049826,1,rooftop,412,Cloverdale Rd,,,Scottsboro,AL,Jackson County,35768,US,Jackson
015186,33.238247,-87.57923,,AL,35476,33.238247,-87.57923,1,rooftop,2201,32nd St,,,Northport,AL,Tuscaloosa County,35476,US,Tuscaloosa
015187,32.994869,-87.630991,,AL,35474,32.994869,-87.630991,1,street_center,,3rd Ave,,,Moundville,AL,Hale County,35474,US,TIGER/LineÂ® dataset from the US Census Bureau
015188,31.536539,-87.887991,,AL,36545,31.536539,-87.887991,1,range_interpolation,2616,College Ave,,,Jackson,AL,Clarke County,36545,US,TIGER/LineÂ® dataset from the US Census Bureau
015189,33.595677,-86.310562,,AL,35125,33.595677,-86.310562,1,range_interpolation,510,Wolf Creek Rd N,,,Pell City,AL,St. Clair County,35125,US,TIGER/LineÂ® dataset from the US Census Bureau
015191,32.952149,-85.97864,,AL,35010,32.952149,-85.97864,1,range_interpolation,2334,Washington St,,,Alexander City,AL,Tallapoosa County,35010,US,TIGER/LineÂ® dataset from the US Census Bureau
015192,32.638439,-85.401285,,AL,36801,32.638439,-85.401285,1,range_interpolation,1910,Pepperell Pkwy,,,Opelika,AL,Lee County,36801,US,TIGER/LineÂ® dataset from the US Census Bureau
015193,31.842285,-86.637932,,AL,36037,31.842285,-86.637932,1,range_interpolation,408,Country Club Dr,,,Greenville,AL,Butler County,36037,US,TIGER/LineÂ® dataset from the US Census Bureau
015194,33.907743,-85.607873,,AL,36272,33.907743,-85.607873,1,rooftop,30,Roundtree Dr,,,Piedmont,AL,Calhoun County,36272,US,Calhoun County
015195,33.593893,-86.399338,,AL,35125,33.593893,-86.399338,0.9,rooftop,415,Cook Springs Rd,,,Cook Springs,AL,St. Clair County,35052,US,St Clair
015196,32.857088,-85.195231,,AL,36863,32.857088,-85.195231,1,range_interpolation,702,S 13th St,,,Lanett,AL,Chambers County,36863,US,TIGER/LineÂ® dataset from the US Census Bureau
015197,32.883952,-85.412539,,AL,36862,32.883952,-85.412539,0.9,range_interpolation,805,Hospital St,,,La Fayette,AL,Chambers County,36862,US,TIGER/LineÂ® dataset from the US Census Bureau
015199,31.888311,-85.158195,,AL,36027,31.888311,-85.158195,1,range_interpolation,430,Rivers Ave,,,Eufaula,AL,Barbour County,36027,US,TIGER/LineÂ® dataset from the US Census Bureau
015200,34.165908,-85.661044,,AL,35960,34.165908,-85.661044,1,range_interpolation,877,Cedar Bluff Rd,,,Centre,AL,Cherokee County,35960,US,TIGER/LineÂ® dataset from the US Census Bureau
015201,34.450343,-88.142804,,AL,35582,34.450343,-88.142804,1,range_interpolation,106,10th Ave NW,,,Red Bay,AL,Franklin County,35582,US,TIGER/LineÂ® dataset from the US Census Bureau
015202,33.971412,-86.020535,,AL,35999,33.971412,-86.020535,0.9,rooftop,2301,Rainbow Dr,,,Gadsden,AL,Etowah County,35901,US,Etowah
015203,33.985006,-86.107942,,AL,35954,33.985006,-86.107942,1,range_interpolation,915,Stewart Ave SE,,,Attalla,AL,Etowah County,35954,US,TIGER/LineÂ® dataset from the US Census Bureau
015204,33.067594,-86.052793,,AL,35072,33.067594,-86.052793,1,range_interpolation,16,Jones Hill Rd,,,Goodwater,AL,Coosa County,35072,US,TIGER/LineÂ® dataset from the US Census Bureau
015206,34.572268,-87.068072,,AL,35603,34.572268,-87.068072,0.5,street_center,,W Morgan Rd,,,Decatur,AL,Morgan County,35603,US,TIGER/LineÂ® dataset from the US Census Bureau
015207,34.273145,-85.856732,,AL,35961,34.273145,-85.856732,1,range_interpolation,685,N Valley Ave,,,Collinsville,AL,DeKalb County,35961,US,TIGER/LineÂ® dataset from the US Census Bureau
015208,31.47316,-85.635268,,AL,36360,31.47316,-85.635268,1,range_interpolation,312,Bryan Dr,,,Ozark,AL,Dale County,36360,US,TIGER/LineÂ® dataset from the US Census Bureau
015209,33.369923,-86.991979,,AL,35020,33.369923,-86.991979,0.9,rooftop,820,Golf Course Rd,,,Bessemer,AL,Jefferson County,35022,US,Jefferson
015210,31.293184,-86.25712,,AL,36467,31.293184,-86.25712,1,range_interpolation,115,Paulk Ave,Box,730,Opp,AL,Covington County,36467,US,TIGER/LineÂ® dataset from the US Census Bureau
015211,30.717184,-88.073901,,AL,36617,30.717184,-88.073901,1,rooftop,857,Crawford Ln,,,Mobile,AL,Mobile County,36617,US,City of Mobile
015212,33.459356,-86.991622,,AL,35023,33.459356,-86.991622,1,rooftop,131,Crest Rd E,,,Bessemer,AL,Jefferson County,35023,US,Jefferson
015213,31.778161,-85.963611,,AL,36079,31.778161,-85.963611,1,rooftop,515,Elba Hwy,,,Troy,AL,Pike County,36079,US,Pike
015214,34.684383,-86.750819,,AL,35758,34.684383,-86.750819,1,rooftop,3891,Sullivan St,,,Madison,AL,Madison County,35758,US,Madison
015215,32.951363,-87.1469,,AL,35042,32.951363,-87.1469,1,range_interpolation,208,Pierson Ave,,,Centreville,AL,Bibb County,35042,US,TIGER/LineÂ® dataset from the US Census Bureau
015216,31.428694,-85.646004,,AL,36360,31.428694,-85.646004,1,range_interpolation,929,Mixon School Rd,,,Ozark,AL,Dale County,36360,US,TIGER/LineÂ® dataset from the US Census Bureau
015217,33.546805,-86.882537,,AL,35214,33.546805,-86.882537,1,rooftop,1000,Dugan Ave,,,Birmingham,AL,Jefferson County,35214,US,Jefferson
015220,31.932187,-87.737338,,AL,36784,31.932187,-87.737338,1,range_interpolation,1425,Mosley Dr,,,Thomasville,AL,Clarke County,36784,US,TIGER/LineÂ® dataset from the US Census Bureau
015221,32.909338,-85.922644,,AL,35010,32.909338,-85.922644,1,range_interpolation,3701,Dadeville Rd,,,Alexander City,AL,Tallapoosa County,35010,US,TIGER/LineÂ® dataset from the US Census Bureau
015222,30.520252,-87.905549,,AL,36532,30.520252,-87.905549,1,rooftop,108,Church St S,,,Fairhope,AL,Baldwin County,36532,US,Baldwin
015223,34.04326,-85.954838,,AL,35901,34.04326,-85.954838,1,rooftop,700,Hutchins Ave,,,Gadsden,AL,Etowah County,35901,US,Etowah
015225,34.338117,-86.312618,,AL,35976,34.338117,-86.312618,1,range_interpolation,22444,US Hwy 431,,,Guntersville,AL,Marshall County,35976,US,TIGER/LineÂ® dataset from the US Census Bureau
015227,33.7216,-88.16685,,AL,35592,33.7216,-88.16685,1,range_interpolation,1050,Convalescent Rd,,,Vernon,AL,Lamar County,35592,US,TIGER/LineÂ® dataset from the US Census Bureau
015228,32.317591,-86.239756,,AL,36116,32.317591,-86.239756,1,rooftop,4490,Virginia Loop Rd,,,Montgomery,AL,Montgomery County,36116,US,City of Montgomery
015303,33.476557,-86.899837,,AL,35228,33.476557,-86.899837,1,rooftop,1028,Bessemer Rd,,,Birmingham,AL,Jefferson County,35228,US,Jefferson
015315,33.894135,-87.170812,,AL,35504,33.894135,-87.170812,0.33,place,,,,,Jasper,AL,Walker County,35504,US,TIGER/LineÂ® dataset from the US Census Bureau
015320,31.301903,-85.83594,,AL,36331,31.301903,-85.83594,0.9,range_interpolation,300,Plaza Dr,Box,311227,Enterprise,AL,Coffee County,36330,US,TIGER/LineÂ® dataset from the US Census Bureau
015321,33.406013,-86.807404,,AL,35226,33.406013,-86.807404,1,rooftop,3141,Old Columbiana Rd,,,Birmingham,AL,Jefferson County,35226,US,Jefferson
015322,31.49693,-87.319656,,AL,36460,31.49693,-87.319656,1,range_interpolation,2046,Alabama Ave,,,Monroeville,AL,Monroe County,36460,US,TIGER/LineÂ® dataset from the US Census Bureau
015326,33.240118,-87.581128,,AL,35476,33.240118,-87.581128,1,range_interpolation,2201,Mcfarland Blvd,,,Northport,AL,Tuscaloosa County,35476,US,TIGER/LineÂ® dataset from the US Census Bureau
015330,32.312321,-87.798207,,AL,36748,32.312321,-87.798207,1,range_interpolation,608,N Main St,,,Linden,AL,Marengo County,36748,US,TIGER/LineÂ® dataset from the US Census Bureau
015331,32.494467,-85.036459,,AL,36867,32.494467,-85.036459,1,range_interpolation,3900,Lakewood Dr,,,Phenix City,AL,Russell County,36867,US,TIGER/LineÂ® dataset from the US Census Bureau
015336,31.716463,-86.266229,,AL,36049,31.716463,-86.266229,1,range_interpolation,142,W 3rd St,,,Luverne,AL,Crenshaw County,36049,US,TIGER/LineÂ® dataset from the US Census Bureau
015361,34.914537,-87.52892,,AL,35645,34.914537,-87.52892,1,rooftop,2019,County Rd 394,,,Killen,AL,Lauderdale County,35645,US,Lauderdale
015369,33.360525,-86.888567,,AL,35022,33.360525,-86.888567,1,rooftop,2625,Laurel Oak Dr,,,Bessemer,AL,Jefferson County,35022,US,Jefferson
015371,33.228207,-87.559596,,AL,35406,33.228207,-87.559596,1,rooftop,1101,Snows Mill Ave,,,Tuscaloosa,AL,Tuscaloosa County,35406,US,Tuscaloosa
015372,34.762113,-86.595633,,AL,35810,34.762113,-86.595633,1,rooftop,2061,Poole Dr NW,,,Huntsville,AL,Madison County,35810,US,Madison
015373,31.553435,-85.253088,,AL,36310,31.553435,-85.253088,1,range_interpolation,212,Dothan Rd,,,Abbeville,AL,Henry County,36310,US,TIGER/LineÂ® dataset from the US Census Bureau
